Product Title,Product Price,Product Rating,Number of Reviews,Product Description,ASIN,Product Manufacturer
"PS5 Controller Charging Station for Playstation 5 Dualsense Controller with Dual Stand Charger Dock, Upgrade PS5 Controller Charger Accessories Incl. Fast Charging Cable, PS5 Charging Station White","1,839.",4.6 out of 5 stars,4 ratings,,"['B0BZRQ6K59', 'B0BZRQ6K59', 'B0B3J95CCZ', 'B0B69SG993', 'B0C9RXCJ17', 'B0BBB4LQS7', 'B0BXCRWT3S', 'B09NM9DTTC', 'B087Q144MK', 'B087D9KGF2', 'B0BCM8ST9C', 'B08ZJK9NVR', 'B0BZRQ6K59', 'B0B3J95CCZ', 'B07YQFJ2DR', 'B08ZJK9NVR', 'B0C2Q8TRZN', 'B09D8VYLY7', 'B08SVS99Q5', 'B0BTSCHZCS', 'B0C5QVBDGH', 'B09NM9DTTC', 'B0C2J54NN3']",Visit the BONACE Store
yantralay Dual Controller Hard Carry Case Compatible for PS5/PS4/XBOX/i Pega Waterproof Travel Carry Case,"1,149.",4.7 out of 5 stars,42 ratings,"Features:  Storage and Carrying Case: Specially designed for Wireless controllers, protecting them from scratches or falling damage during travel or home storage.  The internal mesh pocket is enough to store small accessories such as charging data cables, thumb clips, earphones, etc.  Sturdy Material: It is different from other products. Our storage box uses high-quality nylon zipper pulls, which are tough, durable and feel good. The controller storage bag is made of PU and EVA. The hard EVA shell protects your controller, while the soft internal material protects your device from scratches, and the hard shell protects the console from falling and accidental damage. Double Handle Storage: It can store 2 Controllers at the same time, the built-in groove is specially designed for the handle to protect your handle from being squeezed, and there is a zipper mesh bag for storing data cables and other accessories. Easy to Carry: Wear a comfortable hand strap, convenient to carry. Metal Zipper: The zipper opening and closing can protect your valuable device, and it is very easy to open and close.  General Specification: Material: EVA Type: Carry Case Color: Grey Compatible For: PS5/PS4/XBOX/iPega Controllers Package Content: 1 x Carry Case.","['B0BJBL1XBS', 'B0BJBL1XBS', 'B0B34NN2W4', 'B005L0Z2BQ', 'B0BZRQ6K59', 'B09ZQS9P5T', 'B0C3QPBKSW', 'B0C3QNBH26', 'B08N6W2JVZ', 'B0C2Q8TRZN', 'B0BDZJ6F2R', 'B09BZPGPT5', 'B0BJBL1XBS', 'B0B34NN2W4', 'B0C2Q8TRZN', 'B0C3QL325N', 'B0BZRQ6K59', 'B08ZJK9NVR', 'B07YQFJ2DR', 'B0C3QKYJJ5', 'B005L0Z2BQ', 'B08N6W2JVZ', 'B0C2VWGMYC', 'B0BJBL1XBS']",Visit the YANTRALAY SCHOOL OF GADGETS Store
"Ant Esports Dock5 RGB with Cooling Fan and Dual Controller Charger Station, PS5 Console Disc & Digital Edition, PS5 Cooling Station Accessories with RGB Light/Headset Holder/6 Game Slots/Screw (White)","1,899.",4.0 out of 5 stars,47 ratings,"Ant Esports Dock5 RGB Cooling and Charging Station for PS5 with Cooling Fan and Dual Controller Charger Station for Playstation 5 PS5 Console Disc & Digital Edition, PS5 Cooling Station PS5 Accessories with RGB Light/Headset Holder/6 Game Slots/Screw (White)","['B0BRZZCRPW', 'B0BRZZCRPW', 'B09NM9DTTC', 'B09B89GCWW', 'B09BB78NW5', 'B09B7TL9W7', 'B0C3QKYXRZ', 'B0BZDMY9RS', 'B0BD4FV81P', 'B0C3QKYJJ5', 'B0C2Q8TRZN', 'B08N6W2JVZ', 'B0BRZZCRPW', 'B082VX16VJ', 'B087D9KGF2', 'B005L0Z2BQ', 'B0C2J54NN3', 'B0C3QNBH26', 'B0C2Q8TRZN', 'B0C2J6DRXG', 'B0BM38HD8S', 'B0B69SG993', 'B0BCM8ST9C', 'B0BRZZCRPW']",Visit the Ant Esports Store
"OIVO PS5 Charging Station, 2H Fast PS5 Controller Charger for Playstation 5 Dualsense Controller, Upgrade PS5 Charging Dock with 2 Types of Cable, PS5 Charger for Dual PS5 Controller - Black","2,299.",4.6 out of 5 stars,"10,049 ratings",,"['B08S3FMVV7', 'B08S3FMVV7', 'B0B3J95CCZ', 'B0BZRQ6K59', 'B0CBN8C6FC', 'B09W5ZNC3W', 'B09C69FKDC', 'B09B89GCWW', 'B09B7TL9W7', 'B09HSGSKZS', 'B0C2VWGMYC', 'B08R68SNGZ', 'B08S3FMVV7', 'B0B3J95CCZ', 'B0BZRQ6K59', 'B07YQFJ2DR', 'B09D8VYLY7', 'B0C2J54NN3', 'B09NM9DTTC', 'B08ZJK9NVR', 'B0C2J6DRXG', 'B082VX16VJ', 'B0C8JZ7WJ6', 'B08S3FMVV7']",Brand: OIVO
GLITCH | PS5 Dust Cover | Covers For Playstation 5 | Accessories for console | Three Layer waterproof Anti scratch Dust Guard sleeve | digital Edition & Disc Edition | Foam protection Protector vertical | Black,499.,4.4 out of 5 stars,248 ratings,,"['B09Z88QGWS', 'B09Z88QGWS', 'B0C2Q8TRZN', 'B0B51TR93F', 'B0C3QKYJJ5', 'B0C3QNBH26', 'B0B69SG993', 'B09NM9DTTC', 'B09H392774', 'B08KQHFR21', 'B085LZSG6F', 'B09C69FKDC', 'B09Z88QGWS', 'B0C2Q8TRZN', 'B0B51TR93F', 'B0C2J54NN3', 'B0C2J6DRXG', 'B082VX16VJ', 'B0B69SG993', 'B07YQFJ2DR', 'B0BSGRGN6J', 'B0C3QL325N', 'B08KQHFR21', 'B09Z88QGWS']",Brand: Glitch
GLITCH | PS5 Dust Cover | Covers for Playstation 5 | Accessories for Console Waterproof Anti Scratch Dust Guard Sleeve | Digital Edition & Disc Edition | Protection Protector Vertical | Black,299.,4.2 out of 5 stars,88 ratings,"Triple Layer: Glitch In-house Designed ps5 Dust cover Is made for gamers like you, It brings overall protection with the Thick Outer Layer To protect from dust and water, The middle layer is made up of Foam for protection and the inner layer is soft to avoid any scratches.","['B0BCP96Q83', 'B0BCP96Q83', 'B0BCGK7H28', 'B09L8C3GXK', 'B09V4VD3R2', 'B0B69SG993', 'B082PKX18C', 'B08N6W2JVZ', 'B08MCD9JFY', 'B0C9RXCJ17', 'B09NM9DTTC', 'B005L0Z2BQ', 'B0B34NN2W4', 'B09L8C3GXK', 'B09V4VD3R2', 'B0B51TR93F', 'B09BB78NW5', 'B09B89GCWW', 'B08Z3J4BWL', 'B0BGSKKV1N', 'B09H392774', 'B0BBB4LQS7', 'B0BCP96Q83', 'B0B34NN2W4', 'B09L8C3GXK', 'B07YQFJ2DR', 'B09V4VD3R2', 'B08ZJK9NVR', 'B09D8VYLY7', 'B0BSGRGN6J', 'B082PKX18C', 'B0C47ZX1WB', 'B0C2Q8TRZN', 'B0BCP96Q83']",Brand: glitch
"New World Upgraded PS5 Controller Charger, Playstation 5 Charging Station with LED Indicator, High Speed, Fast Charging Dock for PS5 DualSense Controller, White","1,399.",4.3 out of 5 stars,176 ratings,,"['B096YK33BD', 'B096YK33BD', 'B09NM9DTTC', 'B09W5ZNC3W', 'B0C7W9HLWQ', 'B09JWTM62V', 'B0C3QL325N', 'B0BDF18FTS', 'B0BDF19XWP', 'B09VVJXF1W', 'B074DD4KF2', 'B08R68SNGZ', 'B096YK33BD', 'B0C2J54NN3', 'B082VX16VJ', 'B07YQFJ2DR', 'B0C2J6DRXG', 'B0C2Q8TRZN', 'B08G1FB9R6', 'B0C3QL325N', 'B08VN3G3KW', 'B08ZJK9NVR', 'B09RVCY2C7', 'B096YK33BD']",Visit the New World Store
"ZORBES® Dust Cover for SONY PS5 Console, Dust Proof Cover Protective Case Anti Scratch Waterproof Case for Sony PlayStation 5 Game Console Cover Sleeve for PS5 Accessories Digital Edition&Disc Edition",809.,3.6 out of 5 stars,32 ratings,,"['B09ZQS9P5T', 'B09ZQS9P5T', 'B09ZQS9P5T', 'B07S7CJWNP', 'B08WWX8BVT', 'B082PKX18C', 'B0C5Z5FYCX', 'B08TVHXR9W', 'B0CG3DQ4KJ', 'B09NWCQ442', 'B07W2XQMGR', 'B00V3A9JYE', 'B0C5VRY9BS']",Brand: ZORBES
"TCOS TECH PS5 Headset Stand, Headphone Stand, PS5 Headphone Hook, PS5 Headset Hanger, Compatible with Universal Gaming Headsets (HEADPHONE NOT INCLUDED)",599.,4.4 out of 5 stars,2 ratings,"TCOS TECH PS5 Headset Stand, Headphone Stand, PS5 Headphone Hook, PS5 Headset Hanger, Compatible with Universal Gaming Headsets (HEADPHONE NOT INCLUDED). Features: 1. This headphone stand holder could fits almost all brands of headphones of all sizes. Suitable for PS5. 2. Just put the hanger on your console and then place your headset. 3. The headsets holder can be moved with your console whenever and wherever. 4. Silicone protective pad prevents the hook from scratching your console. 5. Keep your headsets organized, and save space for your gaming station. Say goodbye to the messy desktop with this headset stand. Packing List: 1*Headphone Hanger (HEADPHONE NOT INCLUDED)","['B09V8H19NM', 'B09V8H19NM', 'B08R68SNGZ', 'B087Q144MK', 'B0C3QKYXRZ', 'B09BZNBP8N', 'B012VIWG28', 'B0BD4D5PLL', 'B07RG4QPJ8', 'B07WMPW27R', 'B08ZJK9NVR', 'B01DNLLTIE', 'B09V8H19NM', 'B07YQFJ2DR', 'B0C3QL325N', 'B0C2J54NN3', 'B08ZJK9NVR', 'B09D8VYLY7', 'B0BJ23JTXX', 'B0C2Q8TRZN', 'B073WBZ6GP', 'B08NTBL1R6', 'B082VX16VJ']",Visit the TCOS TECH Store
DualSense Wireless Controller Red (PlayStation 5),"5,679.",4.4 out of 5 stars,531 ratings,"Discover a deeper, highly immersive gaming experience1 that brings the action to life in the palms of your hands.( Compatible Hardware - PlayStation5 console)","['B098439Y2G', 'B098439Y2G', 'B0BDF18FTS', 'B0BDF19XWP', 'B09TKYNVQN', 'B0BZDMY9RS', 'B074DD4KF2', 'B09B89GCWW', 'B0BSGRB7QB', 'B09BB78NW5', 'B0C2VWGMYC', 'B09W5ZNC3W', 'B098439Y2G', 'B085LZSG6F', 'B0C2J54NN3', 'B0C2J6DRXG', 'B07GFS62W8', 'B082VX16VJ', 'B0BSGRGN6J', 'B0C2Q8TRZN', 'B07YQFJ2DR', 'B09D8VYLY7', 'B0BSGRB7QB', 'B098439Y2G']",Visit the Sony Store
glitch | ps5 Console Carry Bag | Bags for Travel Playstation 5 Carrying case Cover Travelling Handbag Protective Play Station 5 Storage Protection | disc and Digital Edition Accessories (Black),990.,3.4 out of 5 stars,6 ratings,,"['B0C69N3HTD', 'B0C69N3HTD', 'B0C2Q8TRZN', 'B0C3QL325N', 'B0C3QKYJJ5', 'B0BBB4LQS7', 'B09B89GCWW', 'B09BB78NW5', 'B09B7TL9W7', 'B0B69SG993', 'B0BD4FV81P', 'B0BZDMY9RS', 'B0C69N3HTD', 'B0C2Q8TRZN', 'B0C3QL325N', 'B0C2J54NN3', 'B082VX16VJ', 'B0C2J6DRXG', 'B07YQFJ2DR', 'B09D8VYLY7', 'B08ZJK9NVR', 'B07PPNSFBK', 'B082PKX18C']",Brand: glitch
"New World Storage Bag for PS5 , Travel Bag for PS5 , Carrying Case Briefcase Type for PS5,Waterproof Shoulder Bag for Playstation 5 with Both Side Storage Compartment-Black","2,489.",4.4 out of 5 stars,109 ratings,,"['B09PYFP1S9', 'B09PYFP1S9', 'B0C3QNBH26', 'B0C3QLX6ZH', 'B0B69SG993', 'B0C2VVP9QS', 'B09JWTM62V', 'B09B7TL9W7', 'B07NVM4M5S', 'B085LZSG6F', 'B07X8G7ZG5', 'B09C69FKDC', 'B09PYFP1S9', 'B0C3QL325N', 'B0C2Q8TRZN', 'B0C2J6DRXG', 'B0C2J54NN3', 'B09D8VYLY7', 'B0C3QLX6ZH', 'B0B69SG993', 'B07YQFJ2DR', 'B082VX16VJ', 'B07DNN638W', 'B09PYFP1S9']",Visit the New World Store
PS5 Rainbow Six: Extraction - Guardian Edition,"1,217.",4.0 out of 5 stars,3 ratings,"The Guardian Edition of the game includes: THE GAME Copy of the Rainbow Six Extraction game. BUDDY PASS* With the Buddy Pass, invite two friends to play online co-op with you from any platform for two weeks, even if they don’t own the game. DIGITAL CONTENT** The Noxious Touch Pack includes the Noxious Touch uniform and headgear exclusively to Alibi, the universal Noxious Touch and Redeemer weapon skins along with the Jawbreaker and Guardian Angel Charm.","['B097J9VJD7', 'B097J9VJD7', 'B0C2Q8TRZN', 'B09842WZYF', 'B0C9RXCJ17', 'B0B69SG993', 'B09NM9DTTC', 'B09HSGSKZS', 'B0C3QKYXRZ', 'B09C69FKDC', 'B0C2VWGMYC', 'B0BD4D5PLL', 'B097J9VJD7', 'B0C2Q8TRZN', 'B072L7BM6F', 'B076ZQ2C1B', 'B09842WZYF', 'B0C2J54NN3', 'B07YQFJ2DR', 'B0C3QNBH26', 'B09D8VYLY7', 'B08ZJK9NVR', 'B0C3QLX6ZH']",Brand: Ubisoft
Electronic Arts Star Wars Jedi : Survivor | Standard Edition | PlayStation 5,"4,418.",4.2 out of 5 stars,19 ratings,"The story of Cal Kestis continues in Star Wars Jedi: Survivor™, a third person galaxy-spanning action-adventure game from Respawn Entertainment, developed in collaboration with Lucasfilm Games. This narratively-driven, single player title picks up five years after the events of Star Wars Jedi: Fallen Order™ and follows Cal’s increasingly desperate fight as the galaxy descends further into darkness. Pushed to the edges of the galaxy by the Empire, Cal will find himself surrounded by threats new and familiar. o Continue Cal’s Journey – No longer a Padawan, Cal has come into his own and grown into a powerful Jedi Knight. The Dark Times are closing in - with enemies new and familiar surrounding him, Cal will need to decide how far he’s willing to go to save those closest to him. o Go Beyond Your Training – The cinematic combat system returns with additional Force abilities and new lightsaber fighting styles. Creatively leverage all these abilities and weapons to strategically take on an expanded host of enemies, sizing up strengths and weaknesses while cleverly utilizing your training to overcome your opponents and solve the mysteries that lay in your path. o Explore an Untamed Galaxy – Discover new planets and familiar frontiers in the Star Wars galaxy, each with unique biomes, challenges, and enemies. Master new skills, equipment, and abilities that will augment the ways you explore, fight, and roam. With larger areas to explore and more to discover off the beaten path, players who adventure beyond the horizon will find hidden rewards.","['B0BQ2K2ZG2', 'B0BQ2K2ZG2', 'B0BQ2K2ZG2', 'B0BFRMNPGH', 'B0B69SG993', 'B09842WZYF', 'B0C2Q8TRZN', 'B074DD4KF2', 'B0BSGRB7QB', 'B07NVM4M5S', 'B0BZDMY9RS', 'B0BDF19XWP', 'B0BDF18FTS', 'B0BQ2K2ZG2', 'B0C3QL325N', 'B07KRBR6YK', 'B0742DJ7RP', 'B0C2Q8TRZN', 'B0C2J54NN3', 'B07YQFJ2DR', 'B0B69SG993', 'B08ZJK9NVR', 'B0C2J6DRXG', 'B09842WZYF']",Brand: Electronic Arts
PS5 RETURNAL,"1,990.",4.3 out of 5 stars,113 ratings,"After crash-landing on a shape-shifting alien planet, Selene finds herself fighting tooth and nail for survival. Again and again she’s defeated, forced to restart her journey every time she dies.","['B08WK6DCLR', 'B08WK6DCLR', 'B0C2Q8TRZN', 'B0C3QNBH26', 'B0C3QPBKSW', 'B09JWTM62V', 'B09B89GCWW', 'B07X8G7ZG5', 'B09Q396Z7T', 'B098XJF39V', 'B0BD4FV81P', 'B0BD4D5PLL', 'B08WK6DCLR', 'B085LZSG6F', 'B0C2J54NN3', 'B0C2J6DRXG', 'B07CR3QKQL', 'B0B69SG993', 'B0C2Q8TRZN', 'B0BSGRGN6J', 'B09NM9DTTC', 'B08ZJK9NVR', 'B07YQFJ2DR', 'B08WK6DCLR']",Visit the Sony Store
UBI Soft Ps5 Assassin's Creed Valhalla Ragnarok Edition,"2,095.",5.0 out of 5 stars,4 ratings,"In Assassin’s Creed® Valhalla, you are Eivor, a fierce Viking warrior raised on tales of battle and glory. Explore a mysterious and beautiful open world set against the brutal backdrop of England’s Dark Ages. Raid your enemies, grow your settlement, and build your political power in the quest to earn a place among the gods in Valhalla. In addition to the main game, this Ragnarök Edition contains Assassin’s Creed Valhalla: Dawn of Ragnarök, the most ambitious expansion in Assassin’s Creed history. Embrace Eivor’s destiny as Odin as you journey into a breathtaking realm of Norse Myth. Assassin’s Creed® Valhalla: Ragnarök Edition includes: -Assassin’s Creed Valhalla game -A download code for the expansion Dawn of Ragnarök","['B09SZVDDC7', 'B09SZVDDC7', 'B09SZVDDC7', 'B07DNN638W', 'B09NM9DTTC', 'B09HSGSKZS', 'B0C3QLX6ZH', 'B0BD4FV81P', 'B0BD4D5PLL', 'B0C2VWGMYC', 'B098MVB3VL', 'B0BDF19XWP', 'B0BDF18FTS', 'B09SZVDDC7', 'B0C2J6DRXG', 'B0C2J54NN3', 'B085LZSG6F', 'B0BSGRB7QB', 'B0C2Q8TRZN', 'B0BSGRGN6J', 'B0B69SG993', 'B07YQFJ2DR', 'B09NM9DTTC', 'B07DNN638W']",Brand: Ubisoft
PS5 RATCHET & CLANK: RIFT APART,"2,089.",4.5 out of 5 stars,227 ratings,"Go dimension-hopping with Ratchet and Clank as they take on an evil emperor from another reality. Jump between action-packed worlds, and beyond at mind-blowing speeds – complete with dazzling visuals and an insane arsenal – as the intergalactic adventurers blast onto the PS5™ console.","['B08WK5T3HY', 'B08WK5T3HY', 'B0BD4FV81P', 'B0C3QKYJJ5', 'B0C3QKYXRZ', 'B0BD4D5PLL', 'B09HSGSKZS', 'B082VX16VJ', 'B09Q396Z7T', 'B07CR3QKQL', 'B0C2Q8TRZN', 'B09HR8Q16N', 'B08WK5T3HY', 'B0C2J54NN3', 'B0B69SG993', 'B07CR3QKQL', 'B082VX16VJ', 'B0C2J6DRXG', 'B0C2Q8TRZN', 'B08SVS99Q5', 'B0C3QNBH26', 'B0C3QLX6ZH', 'B09NM9DTTC', 'B08WK5T3HY']",Visit the Sony Store
"TCOS TECH PS5 Faceplate Decorative Strip Case Cover for PS5 Controller, PS5 Controller Skins Replacement Shell Color Replacement DIY Decoration Accessories for PS5 Controller Panel - Camo Grey",399.,Previous page,,"TCOS TECH PS5 Faceplate Decorative Strip Case Cover for PS5 Controller, PS5 Controller Skins Replacement Shell Color Replacement DIY Decoration Accessories for PS5 Controller Panel - Camo Grey","['B0BXYXRXRY', 'B0BD4D5PLL', 'B0BD4FV81P', 'B09HSGSKZS', 'B0BDF18FTS', 'B09H392774', 'B0BDF19XWP', 'B0C3QPBKSW', 'B0C2Q8TRZN', 'B0C2VWGMYC', 'B09BZPGPT5', 'B0C2Q8TRZN', 'B0C3QL325N', 'B07YQFJ2DR', 'B09D8VYLY7', 'B08ZJK9NVR', 'B0C2J54NN3', 'B08SVS99Q5', 'B0C2J6DRXG', 'B0C3QLX6ZH', 'B09NM9DTTC']",Visit the TCOS TECH Store
Call Of Duty : Modern Warfare II | Standard Edition | PlayStation 5 (PS5),"4,845.",4.1 out of 5 stars,79 ratings,"Call of Duty: Modern Warfare II drops players into an unprecedented global conflict that features the return of the iconic operators of Task Force 141. Modern Warfare® II will launch with a globe-trotting single-player campaign, immersive multiplayer combat, and an evolved special ops game mode featuring tactical co-op gameplay Welcome to the new era of Call of Duty® Call of Duty®: Modern Warfare® II is the sequel to 2019’s blockbuster Modern Warfare®. Featuring the return of the iconic, team leader Captain John Price, the fearless John """"Soap"""" MacTavish, the seasoned Sergeant Kyle """"Gaz” Garrick, and the lone wolf himself, fan favorite Simon “Ghost” Riley, players will witness what makes Task Force 141 the legendary squad it is today. From small-scale, high-stakes infiltration tactics to highly classified missions, players will need to leverage new weapons, vehicles, and cutting-edge equipment to take on their enemies. Gear up and take the fight offshore as you siege enemies underwater, breach a highly fortified enemy base, infil along the canals, and liberate much-needed allies at a black site hidden within the mountains. Infinity Ward will immerse fans in heart-pounding next-gen, state-of-the-art gameplay. Fight alongside friends in a truly immersive experience with stunningly realistic sound, lighting, and graphics that produce the most advanced Call of Duty in history. Modern Warfare® II will feature a rebuilt, advanced AI system, enhanced rendering and photogrammetry technology, a new Gunsmith system, allowing for more customization than ever before, and a suite of other gameplay and graphical innovations that elevate the franchise to new heights. The future of the franchise is filled with trail blazing innovations and sets the foundation for next-generation gameplay. Modern Warfare II will feature a massive amount of content from day 1 – squad up and fight alongside TF141 in a globe-trotting single-player campaign, play lone-gun or rally with your team in immersive multiplayer combat, complete with new locales and ways to play, and experience an evolved, narrative-driven Special Ops game mode featuring tactical co-op gameplay. Additionally, Modern Warfare II connects with the new Warzone™ experience releasing this year, and with it, the evolution in Battle Royale with a brand-new play space and sandbox mode. Expect a massive calendar of free content post-launch featuring evolving gameplay with new maps, modes, seasonal events, community celebrations and more. Stay Frosty.","['B0BJF4HD6C', 'B0BJF4HD6C', 'B007WPF7FE', 'B0B69SG993', 'B0C9RXCJ17', 'B09C69FKDC', 'B0C2Q8TRZN', 'B0BSGRB7QB', 'B0BZDMY9RS', 'B07GFS62W8', 'B0BZDLXXF3', 'B09JWTM62V', 'B0BJF4HD6C', 'B0C2J54NN3', 'B007WPF7FE', 'B0B69SG993', 'B0C2J6DRXG', 'B0C2Q8TRZN', 'B0C8DMKHBT', 'B01CR05F5K', 'B0C8JZ7WJ6', 'B0C3QL325N', 'B082VX16VJ', 'B0BJF4HD6C']",Brand: ACTIVISION
PS5 Marvel's Avengers,"2,343.",4.2 out of 5 stars,70 ratings,"Marvel Entertainment and Square Enix are excited to unveil Marvel’s Avengers, an epic action-adventure game that combines cinematic storytelling with single-player and co-operative gameplay. Developed by Crystal Dynamics in collaboration with Eidos-Montreal, Nixxes Software, and Crystal Northwest, the game features an original story and delivers the definitive Avengers gaming experience. Assemble into teams of up to four players online, master extraordinary abilities, customize a growing roster of Heroes, and defend the Earth from escalating threats.","['B08VKFG51B', 'B08VKFG51B', 'B08VKFG51B', 'B07FDQL2VR', 'B098K5B73D', 'B09842WZYF', 'B0B69SG993', 'B0C8DMKHBT', 'B0C8JZ7WJ6', 'B082VX16VJ', 'B07MQ6JBZM', 'B0C2J54NN3', 'B0C9RXCJ17', 'B08VKFG51B']",Brand: SQUARE ENIX
"NiTHO Charging Station for PS5 DualSense/PS5 Edge Wireless Controllers, Controller Charger Compatible with Playstation 5 Controllers, Vertical Dual Controller Fast Charging Dock, White","1,899.",4.8 out of 5 stars,8 ratings,Charging station for 2 PS5 DualSense / DualSense Edge controller with USB-C cable.,"['B0B3J95CCZ', 'B0B3J95CCZ', 'B0BZRQ6K59', 'B08R68SNGZ', 'B0996773JZ', 'B0C2VWGMYC', 'B0BZDMY9RS', 'B0BD4D5PLL', 'B09BB78NW5', 'B09JWTM62V', 'B0BD4FV81P', 'B0BL3KKQRF', 'B0B3J95CCZ', 'B0C2J54NN3', 'B0C2J6DRXG', 'B0B2VVYKQ7', 'B082VX16VJ', 'B0B69SG993', 'B09D8VYLY7', 'B08ZJK9NVR', 'B09NM9DTTC', 'B0C2X3Y1KG', 'B07YQFJ2DR']",Brand: Nitho
"New world Dust Cover For PS5, Soft Neat Lining Dust Guard for PS5 Console, Anti Scratch Waterproof Cover Sleeve for Playstation 5 Console Digital Edition & Disc Edition",949.,4.4 out of 5 stars,288 ratings,,"['B09JBJWCJD', 'B09JBJWCJD', 'B0B69SG993', 'B09ZQS9P5T', 'B09H392774', 'B0C3QKYJJ5', 'B09NM9DTTC', 'B0BDF18FTS', 'B0BDF19XWP', 'B082VX16VJ', 'B085LZSG6F', 'B09HSGSKZS', 'B09JBJWCJD', 'B0C2Q8TRZN', 'B0C2J6DRXG', 'B0C2J54NN3', 'B07YQFJ2DR', 'B08ZJK9NVR', 'B0C3QNBH26', 'B082VX16VJ', 'B09D8VYLY7', 'B0C3QPBKSW', 'B09ZQS9P5T', 'B09JBJWCJD']",Visit the New World Store
F1 23 | Standard Edition | PlayStation 5,"4,299.",4.6 out of 5 stars,5 ratings,"Be the last to brake in EA SPORTS F1 23, the official video game of the 2023 FIA Formula One World Championship A new chapter in the thrilling Braking Point story mode delivers high-speed drama and heated rivalries Race wheel-to-wheel at new Las Vegas and Qatar circuits, and earn rewards and upgrades in F1 World New Red Flags add an authentic strategic element, and the 35% Race Distance feature delivers more action and excitement Drive updated 2023 cars with the official F1 lineup of your favorite 20 drivers and 10 teams Create your dream team and race to win in My Team Career Mode, compete in split-screen or in the expanded cross-platform multiplayer, and be more social with new Racenet Leagues Braking Point 2 — A new chapter unfolds in F1 23 Enhanced Authenticity — The new Las Vegas and Qatar circuits, Red Flags, 35% Race Distance and more F1 World — Complete challenges, compete for rewards and get upgrades as you journey through F1 with a new progression system F1 World Starter Pack 5,000 PitCoin virtual currency to spend in-game","['B0C4TJCYW7', 'B0C4TJCYW7', 'B0C2Q8TRZN', 'B0C3QKYXRZ', 'B0C9RXCJ17', 'B09842WZYF', 'B0BSGRB7QB', 'B07NVM4M5S', 'B0BZDMY9RS', 'B082VX16VJ', 'B0C2J4MNYQ', 'B0C2VVP9QS', 'B0C4TJCYW7', 'B072L7BM6F', 'B0C2J54NN3', 'B07MJKZMH7', 'B0C2Q8TRZN', 'B082VX16VJ', 'B0C2J6DRXG', 'B09842WZYF', 'B07YQFJ2DR', 'B08ZJK9NVR', 'B09D8VYLY7']",Brand: Electronic Arts
Take 2 WWE 2K23 | Standard Edition | PlayStation 5,"3,999.",4.5 out of 5 stars,27 ratings,"Expanded features, gorgeous graphics, and the ultimate WWE experience.  Hit the ring with a deep roster of WWE Superstars and Legends including Roman Reigns, “The American Nightmare” Cody Rhodes, Ronda Rousey, Brock Lesnar, “Stone Cold” Steve Austin, and more!","['B0BT1TSSKP', 'B0BT1TSSKP', 'B0C2Q8TRZN', 'B0C9RXCJ17', 'B07W5WZ7Q5', 'B098MVB3VL', 'B0C2VWGMYC', 'B0C3QKYXRZ', 'B0BSGRB7QB', 'B074DD4KF2', 'B0BDF19XWP', 'B0BDF18FTS', 'B0BT1TSSKP', 'B07YQFJ2DR', 'B0C8JZ7WJ6', 'B0C8DMKHBT', 'B0C2J54NN3', 'B0C2X3Y1KG', 'B08ZJK9NVR', 'B0C2Q8TRZN', 'B07W5WZ7Q5', 'B09JWY7LLG', 'B0C2J6DRXG', 'B0BT1TSSKP']",Brand: Take 2
