Product Title,Product Price,Product Rating,Number of Reviews,Product Description,ASIN,Product Manufacturer
Call of Duty: Vanguard (PS5) - PlayStation 5,"3,199.",4.0 out of 5 stars,31 ratings,"Rise on every front Dogfight over the Pacific, airdrop over France, defend Stalingrad with a sniper’s precision and blast through advancing forces in North Africa. The Call of Duty franchise returns with Call of Duty: Vanguard, developed by Sledgehammer Games, where players will be immersed in visceral WWII combat on an unprecedented global scale. Through a deeply engaging single player Campaign, a select group of soldiers from different countries rise to meet the world's gravest threat. Players will also make their mark across Call of Duty’s signature Multiplayer experience, plus an exciting new Zombies experience developed by Treyarch. Call of Duty Vanguard will also usher in a new and unparalleled Call of Duty: Warzone integration post launch, and feature cross-progression and cross-generation play, in addition to a massive calendar of free post-launch content that adds in new Multiplayer maps, modes, seasonal events, community celebrations and more.","['B09DBG74D8', 'B09DBG74D8', 'B085LZSG6F', 'B0BSGRB7QB', 'B07NVM4M5S', 'B0BSGRGN6J', 'B0C2J5QGKJ', 'B0B69SG993', 'B0C2Q8TRZN', 'B074DD4KF2', 'B09BB78NW5', 'B0C3QKYXRZ', 'B09DBG74D8', 'B0C2J54NN3', 'B0C2J6DRXG', 'B072L7BM6F', 'B01M2W9NSU', 'B085LZSG6F', 'B082VX16VJ', 'B0B69SG993', 'B07YQFJ2DR', 'B0C2Q8TRZN', 'B0C8JZ7WJ6']",Brand: ACTIVISION.
PS5 Tom Clancy’s Rainbow Six Siege – Deluxe Edition,"1,130.",3.6 out of 5 stars,22 ratings,"Tom Clancy's Rainbow Six Siege features an ever-expanding experience with limitless opportunities to perfect your strategy and help lead your team to victory. The game is optimized for Next Gen (up to 4K and up to 120FPS). Dive into explosive 5v5 gameplay, high stakes competition, and thrilling PVP team battles. Tom Clancy's Rainbow Six Siege features an ever-expanding experience with limitless opportunities to perfect your strategy and help lead your team to victory.","['B08WXK1C6M', 'B08WXK1C6M', 'B08WXK1C6M', 'B0C2Q8TRZN', 'B07DNN638W', 'B0BD4FV81P', 'B0BSGRGN6J', 'B09B89GCWW', 'B0C3QKYXRZ', 'B0BD4D5PLL', 'B0C2J5QGKJ', 'B0BSGRB7QB', 'B0C3QKYJJ5', 'B08WXK1C6M', 'B076ZQ2C1B', 'B0C2J54NN3', 'B0C2Q8TRZN', 'B0C2J6DRXG', 'B07YQFJ2DR', 'B0B69SG993', 'B085LZSG6F', 'B09D8VYLY7', 'B0C3QL325N', 'B08ZJK9NVR', 'B08WXK1C6M']",Brand: Ubisoft
PS5 Resident Evil Village,"3,020.",3.8 out of 5 stars,40 ratings,"Experience survival horror like never before in the eighth major installment in the storied Resident Evil franchise - Resident Evil Village. Set a few years after the horrifying events in the critically acclaimed Resident Evil 7 biohazard, the all-new storyline begins with Ethan Winters and his wife Mia living peacefully in a new location, free from their past nightmares. Just as they are building their new life together, tragedy befalls them once again.","['B08WXJGR2D', 'B08WXJGR2D', 'B08WXJGR2D', 'B01CR05F5K', 'B0C2Q8TRZN', 'B09HSGSKZS', 'B08Y78FFR9', 'B0C3QLX6ZH', 'B09B89GCWW', 'B0BD4D5PLL', 'B0C3QNBH26', 'B09C69FKDC', 'B0BD4FV81P', 'B08WXJGR2D', 'B01CR05F5K', 'B0C2J54NN3', 'B0C2J6DRXG', 'B085LZSG6F', 'B0B69SG993', 'B07YQFJ2DR', 'B09NM9DTTC', 'B07XXP51N4', 'B0C2Q8TRZN', 'B09D8VYLY7', 'B08WXJGR2D']",Brand: Capcom
New World Horizontal Dust Cover for PS5 Console Dust Guard with Back Cable Port for Sony Playstation 5 Console Digital & Disk Version,599.,Previous page,,"Why Do You Really Need A Dust Cover for Your PS5 Console? Prevent Dust From Damaging Your Host. If You Dont’t Want The Console To Be Scribbled By Children. Buying a Protective Cover Is a Good Choice. It is especially designed to protect your monitor from dust, dirt, fingerprints, oil and scratches when daily use. It’s hand-made, durable and washable. Dorca Desktop Screen Dust Cover is a better solution when your monitor is being stored, moving or traveling with you for work or vacation.","['B0C8V9T6MW', 'B0BD4FV81P', 'B09ZQS9P5T', 'B0BZDMY9RS', 'B0BD4D5PLL', 'B09NM9DTTC', 'B09W5ZNC3W', 'B09JWTM62V', 'B09C69FKDC', 'B0C3QKYXRZ', 'B0996773JZ', 'B0C2Q8TRZN', 'B07YQFJ2DR', 'B07XCQDFQS', 'B0C2J54NN3', 'B08ZJK9NVR', 'B0C2J6DRXG', 'B07PPNSFBK', 'B082PKX18C', 'B08SVS99Q5', 'B09D8VYLY7']",Visit the New World Store
CD Project Red The Witcher 3: Wild Hunt | Complete Edition | PlayStation 5,"1,899.",4.3 out of 5 stars,11 ratings,"THE MOST AWARDED GAME OF A GENERATION NOW ENHANCED FOR THE NEXT ABOUT THE GAME You are Geralt of Rivia, mercenary monster slayer. Before you stands a war-torn, monster-infested continent you can explore at will. Your current contract? Tracking down Ciri — the Child of Prophecy, a living weapon that can alter the shape of the world. The Complete Edition contains the base game, offering a huge, over 100-hour long, open-world adventure, as well as both of its massive story expansions: Hearts of Stone & Blood and Wine worth an extra 50 hours of gameplay! It also comes with all additional content released for the game, alongside new features and items, including a built-in Photo Mode, swords, armor, and alternate outfits inspired by The Witcher Netflix series — and more!","['B0BS3XVZTK', 'B0BS3XVZTK', 'B07ZJ9ZYH9', 'B0B69SG993', 'B0C2Q8TRZN', 'B09W5ZNC3W', 'B0BZDMY9RS', 'B07NVM4M5S', 'B0BZDMG84C', 'B0BSGRB7QB', 'B0C3QKYXRZ', 'B074DD4KF2', 'B0BS3XVZTK', 'B07ZJ9ZYH9', 'B09842WZYF', 'B0B69SG993', 'B0C2J54NN3', 'B0C2Q8TRZN', 'B0C2J6DRXG', 'B09NM9DTTC', 'B01CR05F5K', 'B0C3QL325N', 'B07YQFJ2DR', 'B0BS3XVZTK']",Brand: CD Project Red
Demon's Souls | PS5 Game (PlayStation 5),"1,921.",4.4 out of 5 stars,186 ratings,"Entirely rebuilt from the ground up, this remake invites you to experience the unsettling story and ruthless combat of Demon’s Souls™.","['B08M4HTT78', 'B08M4HTT78', 'B0C2Q8TRZN', 'B07X8G7ZG5', 'B0BD4FV81P', 'B09C69FKDC', 'B0BD4D5PLL', 'B0C3QL325N', 'B098MVB3VL', 'B0C7W1R6ZH', 'B00SAYCVTQ', 'B07S8PK5VH', 'B08M4HTT78', 'B085LZSG6F', 'B0C2J54NN3', 'B0C2J6DRXG', 'B0B69SG993', 'B07CR3QKQL', 'B07YQFJ2DR', 'B01CR05F5K', 'B0C2Q8TRZN', 'B09D8VYLY7', 'B08ZJK9NVR', 'B08M4HTT78']",Visit the Sony Store
"New world for PS5 Faceplate , Faceplate for PS5 Disc edition , Faceplate for PS5 CD Vesrion , - Black","2,139.",4.2 out of 5 stars,25 ratings,,"['B09PSDMYPT', 'B09PSDMYPT', 'B0C2Q8TRZN', 'B0C3QLX6ZH', 'B07X8G7ZG5', 'B09C69FKDC', 'B0C3QNBH26', 'B09NM9DTTC', 'B09JWTM62V', 'B0B69SG993', 'B09B7TL9W7', 'B095JNZGC4', 'B09PSDMYPT', 'B09NM9DTTC', 'B0C2J54NN3', 'B01M7VFI47', 'B082VX16VJ', 'B0C2Q8TRZN', 'B0C8DMKHBT', 'B0C2J6DRXG', 'B0B69SG993', 'B0C3QL325N', 'B0BSGRGN6J', 'B09PSDMYPT']",Visit the New World Store
"SONY PS5 GHOST OF TSUSHIMA DIRECTOR'S CUT- PS5, Black, 10GHOCU2","2,684.",4.8 out of 5 stars,606 ratings,GHOST OF TSUSHIMA DIRECTOR'S CUT- PS5 We have carefully selected our products that are quality standard of great value.,"['B098WZZNWN', 'B098WZZNWN', 'B085LZSG6F', 'B0B69SG993', 'B0BSGRB7QB', 'B09B89GCWW', 'B07GFS62W8', 'B07BB3PYD8', 'B07DNN638W', 'B08YJMKCNG', 'B0C9RXCJ17', 'B07MV44RHD', 'B098WZZNWN', 'B0C2J6DRXG', 'B0C2J54NN3', 'B085LZSG6F', 'B0BWLTDDP3', 'B0BSGRGN6J', 'B0C5QKLZPX', 'B0BSGRB7QB', 'B0C5LM8C3N', 'B0C2J5QGKJ', 'B00GG59HU2']",Visit the Sony Store
"New World PS5 Wall Mount, 8 in 1 PS5 Wall Mount Kit for PS VR2 PS5 Controller Holder, Headphone Hanger, 14 PS5 Game Holder, Wall Bracket for PS5 (Disc and Digital Edition) & VR2","3,499.",Previous page,,,"['B0C97G6G4F', 'B0C3QL325N', 'B087Q144MK', 'B0BD4FV81P', 'B0BD4D5PLL', 'B0C2Q8TRZN', 'B0C3QLX6ZH', 'B08R68SNGZ', 'B08L4TL2SP', 'B09NM9DTTC', 'B08VNHCVJ2', 'B0C2J54NN3', 'B07YQFJ2DR', 'B0C2Q8TRZN', 'B09RVCY2C7', 'B08ZJK9NVR', 'B0C3QL325N', 'B07PPNSFBK', 'B08SVS99Q5', 'B08VN3G3KW', 'B09D8VYLY7']",Visit the New World Store
New World PS5 Vertical Stand for Playstation 5 with Cooling Fan Cooling Stand Controller Charging Station for PS5 Digital Edition/Ultra HD Console with 14 Game Disc Rack Storage,"1,553.",3.2 out of 5 stars,14 ratings,,"['B08TX5MR8V', 'B08TX5MR8V', 'B09NM9DTTC', 'B0B69SG993', 'B0C2Q8TRZN', 'B082VX16VJ', 'B0C2VWGMYC', 'B09VVGYPKX', 'B09TKYNVQN', 'B074DD4KF2', 'B0C3QLX6ZH', 'B09W5ZNC3W', 'B08TX5MR8V', 'B082VX16VJ', 'B09YVMC1T1', 'B073QW8QBG', 'B0C2J54NN3', 'B0C2Q8TRZN', 'B0B69SG993', 'B0C5W15FYS', 'B0C2J6DRXG', 'B087D9KGF2', 'B07YQFJ2DR', 'B08TX5MR8V']",Visit the New World Store
LEGO 2K Drive | Standard Edition | PlayStation 5,"2,949.",Previous page,,"Welcome to Bricklandia, home of a massive open-world LEGO driving adventure. Race anywhere, play with anyone, build your dream rides, and defeat a cast of wild racing rivals for the coveted Sky Trophy! In LEGO 2K Drive, your awesome transforming vehicle gives you the freedom to speed seamlessly across riveting racetracks, off-road terrain, and open waters. Explore the vast world of Bricklandia, show off your driving skills, and build vehicles brick-by-brick!","['B0C2PH6BDS', 'B0C2PH6BDS', 'B0C2Q8TRZN', 'B0BZDMY9RS', 'B0C3QKYXRZ', 'B09B7TL9W7', 'B0C3QKYJJ5', 'B0B69SG993', 'B09C69FKDC', 'B0BSGRB7QB', 'B0C2VVP9QS', 'B07NVM4M5S', 'B0C2J54NN3', 'B0C2Q8TRZN', 'B098K5B73D', 'B09842WZYF', 'B07YQFJ2DR', 'B0C2J6DRXG', 'B0BFRMNPGH', 'B0B69SG993', 'B076ZQ2C1B', 'B09NM9DTTC']",Brand: 2K GAMES
TCOS TECH PS5 Skin Protective Wrap Cover Vinyl Sticker Decals for Playstation 5 Disk Version Console and Two Dual Sense 5 Sticker Skins PS5 Skin Console and Controller (New Spider Man),899.,Previous page,,TCOS TECH PS5 Skin Protective Wrap Cover Vinyl Sticker Decals for PlayStation 5 Disk Version Console and Two Dual Sense 5 Sticker Skins PS5 Skin Console and Controller (New Spider Man),"['B09S6CH96K', 'B09C6BJK29', 'B09B89GCWW', 'B08N6W2JVZ', 'B07XXP51N4', 'B08ZJK9NVR', 'B0BZDMG84C', 'B09NM9DTTC', 'B0996773JZ', 'B0BBB4LQS7', 'B0BD4D5PLL', 'B07YQFJ2DR', 'B09D8VYLY7', 'B08ZJK9NVR', 'B0C2Q8TRZN', 'B0C2X3Y1KG', 'B0C3QNBH26', 'B09B89GCWW', 'B08SVS99Q5', 'B09C6BJK29', 'B08N6W2JVZ']",Visit the TCOS TECH Store
"New World Charger for PS5 DualSense Wireless Controller, Charging Dock stand Station with Dual Detachable USB C Ports for Playstation 5 PS5 Wireless Controller",599.,3.7 out of 5 stars,35 ratings,,"['B08SQ199C3', 'B08SQ199C3', 'B0BZRQ6K59', 'B0B69SG993', 'B09H392774', 'B0BDF18FTS', 'B0BDF19XWP', 'B0C7W9HLWQ', 'B074DD4KF2', 'B0BXCMM828', 'B09VVGYPKX', 'B07NVM4M5S', 'B08SQ199C3', 'B0BZRQ6K59', 'B0C2J54NN3', 'B082VX16VJ', 'B07YQFJ2DR', 'B0C2J6DRXG', 'B0BG85Q16J', 'B08ZJK9NVR', 'B0C2Q8TRZN', 'B0BCM8ST9C', 'B08L4TL2SP']",Visit the New World Store
Minecraft Legends | Deluxe Edition | PlayStation 5,"3,473.",Previous page,,"Unite the Overworld! The piglins’ Nether corruption is spreading across the Overworld, scorching everything it touches. Are you the hero who will protect this gentle land? Plan your strategy and face the piglins in epic battles – but be warned: they always fight back. Take on piglin bases by day and defend your allies after dusk. Explore lush biomes filled with treasures and perils, meet new friends, and reunite with familiar mobs. With the allays by your side, all that’s left to do is save the world. Raise your banner high with the Deluxe Edition, featuring six additional in-game skins: one hero, four mounts, and an additional mount skin when it becomes available. Features: • Experience an epic legend from the Minecraft universe and the Overworld as you’ve never seen it before. • Form alliances with new friends and familiar mobs, then lead the charge in epic battles against the fierce piglins to defend the Overworld. • Traverse a lush, dynamic world that’s rich in resources and different in each playthrough. • Challenge your friends or team up in intense battles as you defend your village while leading your units to destroy your opponents’ settlements. • Includes the Minecraft Legends base game and the Deluxe Skin pack, featuring 6 additional in-game skins: 1 hero, 4 mounts, and an additional mount skin when it becomes available. o Aspiring to be the best-dressed hero on the battlefield? Fight against the piglin threat in some of the best garments the Overworld has ever seen! Dress your hero and their trusty steed in exquisite attire with the Minecraft Legends Deluxe Skin Pack, including one hero skin, four mount skins, and an additional mount skin when it becomes available. But keep in mind that these skins won’t give you an advantage on the battlefield – aside from a boost in confidence, of course!","['B0BYZNV4PB', 'B08KT1PRHR', 'B08HZB61Q6', 'B0BSGRB7QB', 'B0C2Q8TRZN', 'B0BSGRGN6J', 'B0B69SG993', 'B0C3QKYXRZ', 'B07NVM4M5S', 'B0BZDMY9RS', 'B09B7TL9W7', 'B08HZB61Q6', 'B08KT1PRHR', 'B08FV3CTVN', 'B09842WZYF', 'B0B69SG993', 'B0C3QNBH26', 'B08SVS99Q5', 'B0C2Q8TRZN', 'B0C2J54NN3', 'B0C3QLX6ZH']",Brand: U&I Entertainment
"NITHO PS5 Controller Gaming Kit, Customizing Skin Grip Handle Cover for PlayStation 5 DualsSense Controllers with Anti Slip Thumb Grips - Camo","1,299.",4.4 out of 5 stars,197 ratings,"Set of enhancers for PS5 controller, upgrade you PS5 controller with comfortable camo grip, better aim and anti-slip thumbs.","['B08N6W2JVZ', 'B08N6W2JVZ', 'B0BD4D5PLL', 'B0C3QKYXRZ', 'B0BD4FV81P', 'B0BZDLXXF3', 'B09BZNBP8N', 'B09Q396Z7T', 'B0BZDMY9RS', 'B07MV44RHD', 'B0BZDMG84C', 'B08VJCYLHP', 'B08N6W2JVZ', 'B082VX16VJ', 'B09NM9DTTC', 'B0C2J54NN3', 'B0C3QNBH26', 'B09D8VYLY7', 'B08SVS99Q5', 'B0C3QLX6ZH', 'B09C69FKDC', 'B0C2J6DRXG', 'B09B7TL9W7', 'B08N6W2JVZ']",Brand: Nitho
Sony Ghost of Tsushima | Director's Cut | PS5 Game,"3,290.",4.5 out of 5 stars,203 ratings,"In the late 13th century, the Mongol empire has laid waste to entire nations along their campaign to conquer the East. Tsushima Island is all that stands between mainland Japan and a massive Mongol invasion fleet led by the ruthless and cunning general, Khotun Khan. As the island burns in the wake of the first wave of the Mongol assault, courageous samurai warrior Jin Sakai stands resolute. As one of the last surviving members of his clan, Jin is resolved to do whatever it takes, at any cost, to protect his people and reclaim his home. He must set aside the traditions that have shaped him as a warrior to forge a new path, the path of the Ghost, and wage an unconventional war for the freedom of Tsushima. Ghost of Tsushima DIRECTOR'S CUT includes: - Full game. - Iki Island expansion: New story, mini-games, enemy types and more. - Legends online co-op mode. - Digital mini art book by Dark Horse. - Director's commentary: The creative team sits down with a renowned Japanese historian to look at the world of Ghost of Tsushima and how it compares to the real-life events that inspired it. - One Technique Point. - Charm of Hachiman's Favour. - Hero of Tsushima Skin Set: Golden Mask, Sword Kit, Horse, Saddle.","['B099B95X36', 'B099B95X36', 'B085LZSG6F', 'B0B69SG993', 'B09842WZYF', 'B07DNN638W', 'B07NVM4M5S', 'B0C2Q8TRZN', 'B0BSGRGN6J', 'B0C3QKYXRZ', 'B0C2J5QGKJ', 'B09C69FKDC', 'B099B95X36', 'B098K5B73D', 'B09842WZYF', 'B0C2J6DRXG', 'B0C2J54NN3', 'B0B69SG993', 'B0C9RXCJ17', 'B07VS3D5DP', 'B0C8DMKHBT', 'B07MQ6JBZM', 'B07DNN638W', 'B099B95X36']",Visit the Sony Store
"New world PS5 Controller analog caps , Replacement PS5 Controller Joystick Caps ,PS5 Thumb sticks Cover Thumb Grip Stick Cap",375.,5.0 out of 5 stars,2 ratings,"100% brand new and high quality Features: Specially designed joystick thumb-stick grip cover for PS5 game controllers. Anti-slip surface, providing you a better grip to enhance gaming performance. Fits perfectly and easy access to all buttons, controls and ports without removing the shell. Adds a unique touch to the controller, making it look custom personalized and stylish. Provide your controller all around protection from scratches, dirt and accidential bumps.","['B0B4KJ8K5J', 'B0B4KJ8K5J', 'B0BD4FV81P', 'B09B7TL9W7', 'B0BD4D5PLL', 'B0C2Q8TRZN', 'B087Q144MK', 'B0C3QKYXRZ', 'B0C2X3Y1KG', 'B0C7W1R6ZH', 'B09HSGSKZS', 'B0BG27B7XP', 'B0B4KJ8K5J', 'B0C3QL325N', 'B0C2X3Y1KG', 'B0C2Q8TRZN', 'B07YQFJ2DR', 'B08LNSPW4G', 'B08ZJK9NVR', 'B09D8VYLY7', 'B0C3QLX6ZH', 'B08SVS99Q5', 'B08LNV2NQT']",Visit the New World Store
HD camera - (PlayStation®5),"3,999.",3.9 out of 5 stars,132 ratings,"Featuring dual lenses for 1080p capture and a built-in stand, the HD camera works seamlessly with the PS5™ background removal tools to put you in the spotlight.","['B08FVP7K72', 'B08FVP7K72', 'B085LZSG6F', 'B082VX16VJ', 'B09B89GCWW', 'B07GFS62W8', 'B09C69FKDC', 'B0C2Q8TRZN', 'B09B7TL9W7', 'B0BSGRB7QB', 'B098MVB3VL', 'B0BZDMY9RS', 'B08FVP7K72', 'B085LZSG6F', 'B0C2J6DRXG', 'B0C2J54NN3', 'B07GFS62W8', 'B0BSGRGN6J', 'B0C2Q8TRZN', 'B06XKNZT1P', 'B082VX16VJ', 'B08LFLHXG9', 'B07RL8H55Z', 'B08FVP7K72']",Visit the Sony Store
New World PS5 Controller Silicone Cover Case PS5 Controller Skin Anti Slip Protective Case Sleeve for Sony Playstation 5 DualSense Controller With Thumbgrips free - Special design,449.,4.1 out of 5 stars,139 ratings,"Features: Especially designed for PS5 Controller. Protects your device from scratches, fingerprints and dust while in handheld mode or traveling. Precise cut-out design allows you easily access to all controls and dock connector. Long and convenient for you to use and colorful design will decorate your controller as well. Protective Cover Set only, other accessories demo in the picture are not included! Material: Silicone Package includes: 1 x Protective ps5 Cover Note: Due to the difference between different monitors, the picture may not reflect the actual color of the item. Thank you!","['B08VJHYYTR', 'B08VJHYYTR', 'B09V4VD3R2', 'B08N6W2JVZ', 'B09H392774', 'B0BDF18FTS', 'B0BDF19XWP', 'B0C55RX3D9', 'B09JWTM62V', 'B0B69SG993', 'B0BD4D5PLL', 'B0C2VVP9QS', 'B08VJHYYTR', 'B09V4VD3R2', 'B0C3QL325N', 'B0C2Q8TRZN', 'B0C2J54NN3', 'B09D8VYLY7', 'B082VX16VJ', 'B07YQFJ2DR', 'B08ZJK9NVR', 'B0C2J6DRXG', 'B0C3QLX6ZH', 'B08VJHYYTR']",Visit the New World Store
"New world Replacement Joystick Caps Analog Caps for PS5 Controllers, For PS5 Thumbsticks Cover Thumb Grip Stick Cap",329.,4.2 out of 5 stars,17 ratings,,"['B09LWQX4N3', 'B09LWQX4N3', 'B0C2X3Y1KG', 'B0C55RX3D9', 'B0CBN8C6FC', 'B0BG27B7XP', 'B0B6FYTXY6', 'B0972Q8F9J', 'B0B67TTS3P', 'B09HSGSKZS', 'B0919H8HL1', 'B0B2QVD6WS', 'B09LWQX4N3', 'B0C2J54NN3', 'B0C2Q8TRZN', 'B0C2J6DRXG', 'B0C3QL325N', 'B0C2X3Y1KG', 'B07YQFJ2DR', 'B08LNSPW4G', 'B082VX16VJ', 'B0BSGWNY7P', 'B09D8VYLY7', 'B09LWQX4N3']",Visit the New World Store
"PowerA USB-C Charging Cable for PlayStation 5, PS5, 3m (Officially Licensed)","1,099.",4.7 out of 5 stars,"1,459 ratings","Keep your DualSense controller charged and ready for gaming with the officially licensed PowerA USB Charging Cable for PlayStation 5. This 10ft cable is perfect for charging your controller while your PlayStation 5 console is on standby or even while you play. Made with high-quality connectors, this USB Charging Cable was designed to last.","['B08XXWBHRH', 'B08XXWBHRH', 'B0BLRGBPG2', 'B074DD4KF2', 'B0C2VWGMYC', 'B0C2Q8TRZN', 'B09W5ZNC3W', 'B0C3QKYXRZ', 'B0C7W9HLWQ', 'B0BDF18FTS', 'B07NVM4M5S', 'B07GLNJC25', 'B08XXWBHRH', 'B0C2J54NN3', 'B08F44BR8H', 'B0C2J6DRXG', 'B0BLRGBPG2', 'B095JNZGC4', 'B082VX16VJ', 'B08SVS99Q5', 'B0876MLNY6', 'B08ZJK9NVR', 'B07XQ6TLMZ', 'B08XXWBHRH']",Visit the PowerA Store
Dorca Horizontal Dust Cover For PS5 Console Dust Guard With Back Cable Port For SONY Playstation 5 Console Digital & Disk Version,275.,4.4 out of 5 stars,585 ratings,"Why Do You Really Need A Dust Cover for Your PS5 Console? Prevent Dust From Damaging Your Host. If You Dont’t Want The Console To Be Scribbled By Children. Buying a Protective Cover Is a Good Choice. It is especially designed to protect your monitor from dust, dirt, fingerprints, oil and scratches when daily use. It’s hand-made, durable and washable. Dorca Desktop Screen Dust Cover is a better solution when your monitor is being stored, moving or traveling with you for work or vacation.","['B0BYK3YLWS', 'B0BYK3YLWS', 'B082VX16VJ', 'B08N79HM77', 'B08ZJK9NVR', 'B07YQFJ2DR', 'B08MCD9JFY', 'B0C8DMKHBT', 'B09HR8Q16N', 'B087Q144MK', 'B0C9RXCJ17', 'B099DLKPBR', 'B0C3QKYXRZ', 'B0C2Q8TRZN', 'B0996773JZ', 'B09W5ZNC3W', 'B0C3QLX6ZH', 'B0BC9BX6Z4', 'B08R68SNGZ', 'B0BD4FV81P', 'B09B7TL9W7', 'B09B89GCWW', 'B0BYK3YLWS', 'B07YQFJ2DR', 'B08N79HM77', 'B08ZJK9NVR', 'B0C2J54NN3', 'B09D8VYLY7', 'B0C2J6DRXG', 'B08SVS99Q5', 'B082VX16VJ', 'B08MCD9JFY', 'B09C69FKDC', 'B0BYK3YLWS']",Brand: Dorca
OIVO INDIA Stylish Nylon Grey Hard Carrying Storage Case for PS5 (Playstation 5 Bag) [Video Game],"2,599.",5.0 out of 5 stars,3 ratings,,"['B0C2Q8TRZN', 'B0C2Q8TRZN', 'B09F1WGGZD', 'B0C3QL325N', 'B0C7W1R6ZH', 'B0B69SG993', 'B09B89GCWW', 'B09BB78NW5', 'B09B7TL9W7', 'B09JWTM62V', 'B0C2VWGMYC', 'B07NVM4M5S', 'B0C2Q8TRZN', 'B09L8C3GXK', 'B0C2J54NN3', 'B0C2J6DRXG', 'B082VX16VJ', 'B082PKX18C', 'B0C3QL325N', 'B07YQFJ2DR', 'B0B69SG993', 'B0C8DMKHBT', 'B08ZJK9NVR', 'B0C2Q8TRZN']",Brand: OIVO INDIA
2-Pack 3PIN Potentiometer Sensor for PS5 Controller (Dualsense Stick Drift Fix) Module Replacement for Sony PS5 DualSense,200.,Previous page,,These two brand-new 3Pin trimmer potentiometer sensors are specifically designed for repairing the analog joystick of the PS5 DualSense controller. These replacement parts perfectly match the ones found in the official controller. They are utilized to address and rectify thumbstick drift issues in the DualSense controller,"['B0CFXX1YLL', 'B09JWTM62V', 'B09HSGSKZS', 'B0BD4FV81P', 'B0BD4D5PLL', 'B0C3QLX6ZH', 'B09NM9DTTC', 'B09C69FKDC', 'B0C2Q8TRZN', 'B07NVM4M5S', 'B0CBN8C6FC', 'B09D8VYLY7', 'B0C2J54NN3', 'B08SVS99Q5', 'B0C2J6DRXG', 'B09NM9DTTC', 'B07YQFJ2DR', 'B08ZJK9NVR', 'B0C2Q8TRZN', 'B09HSGSKZS', 'B0C3QNBH26']",Brand: N\A
Sony DualSense Controller Grey Camo | PlayStation 5,"6,399.",4.6 out of 5 stars,31 ratings,"Discover a deeper, highly immersive gaming experience1 that brings the action to life in the palms of your hands.( Compatible Hardware - PlayStation5 console)","['B0BQXZ11B8', 'B0BQXZ11B8', 'B0CBN8C6FC', 'B09BB78NW5', 'B09W5ZNC3W', 'B0BDF18FTS', 'B0C2VWGMYC', 'B08R68SNGZ', 'B0BDF19XWP', 'B09JWTM62V', 'B0C7W9HLWQ', 'B07NVM4M5S', 'B0BQXZ11B8', 'B0C2J54NN3', 'B085LZSG6F', 'B073QW8QBG', 'B0C2J6DRXG', 'B07GFS62W8', 'B082VX16VJ', 'B09D8VYLY7', 'B08SVS99Q5', 'B0C8JZ7WJ6', 'B09TKYNVQN']",Visit the Sony Store
DualSense Edge Wireless Controller (PlayStation 5),"16,499.",4.7 out of 5 stars,49 ratings,"Get an edge in gameplay by creating your own custom controls to fit your playstyle. Built with high performance and personalization in mind, the DualSense Edge wireless controller invites you to craft your own unique gaming experience so you can play your way. NOTE : Please follow user Manual properly as detailed steps and cautions for correct use are clearly mentioned.","['B0BMPLHLZ9', 'B0BMPLHLZ9', 'B0C2Q8TRZN', 'B0BD4D5PLL', 'B0BD4FV81P', 'B08R68SNGZ', 'B0BDF18FTS', 'B0BDF19XWP', 'B0B69SG993', 'B09TKYNVQN', 'B074DD4KF2', 'B0C3QKYXRZ', 'B0BMPLHLZ9', 'B0C2J54NN3', 'B082VX16VJ', 'B0C2J6DRXG', 'B0BSGRGN6J', 'B07GFS62W8', 'B0BSGRB7QB', 'B08626HGFK', 'B0C2Q8TRZN', 'B08SVS99Q5', 'B07YQFJ2DR', 'B0BMPLHLZ9']",Visit the Sony Store
